run,position_band,real_events,generated_events,real_customers,generated_customers,merchant_category_tv,real_pair_absent_from_fit,generated_pair_absent_from_fit,real_frauds,real_fraud_rate,generated_frauds,generated_fraud_rate
digit_relaxed_20260929/generated_validation_20261011,2,9180,9351,135,139,0.6676545027164968,0.0,0.6606780023526896,81,0.008823529411764706,490,0.052400812747299755
digit_relaxed_20260929/generated_validation_20261011,3,53970,54239,135,137,0.659824032546978,0.0,0.6580504802817161,473,0.008764128219381138,307,0.005660133852025295
digit_relaxed_20260929/generated_validation_20261011,4,110395,128755,131,130,0.6576972193022586,0.0,0.6558580249310706,437,0.003958512613795914,185,0.0014368374043726457
digit_relaxed_20260929/generated_validation_20261012,0,147,147,147,147,0.8503401360544215,0.0,0.5714285714285714,12,0.08163265306122448,38,0.2585034013605442
digit_relaxed_20260929/generated_validation_20261012,1,4305,4367,147,147,0.6761297844912761,0.0,0.6425463705060682,143,0.03321718931475029,706,0.16166704831692238
digit_relaxed_20260929/generated_validation_20261012,2,9180,9151,135,137,0.6659327801835533,0.0,0.6578516009179325,81,0.008823529411764706,387,0.042290460059009945
digit_relaxed_20260929/generated_validation_20261012,3,53970,53005,135,133,0.6583385344571151,0.0,0.6561267804924064,473,0.008764128219381138,121,0.0022828035091029147
digit_relaxed_20260929/generated_validation_20261012,4,110395,114914,131,126,0.6590295375427403,0.0,0.657352454879301,437,0.003958512613795914,99,0.0008615138277320431
native_20260928/generated_synthetic_20261011,0,147,147,147,147,0.8639455782312923,0.0,0.6462585034013606,12,0.08163265306122448,60,0.40816326530612246
native_20260928/generated_synthetic_20261011,1,4305,4172,147,147,0.728215981105161,0.0,0.7130872483221476,143,0.03321718931475029,525,0.12583892617449666
native_20260928/generated_synthetic_20261011,2,9180,8595,135,128,0.7340987122015764,0.0,0.7283304246655032,81,0.008823529411764706,121,0.014077952297847586
native_20260928/generated_synthetic_20261011,3,53970,50392,135,126,0.7307112159145526,0.0,0.7303540244483251,473,0.008764128219381138,92,0.0018256866169233212
native_20260928/generated_synthetic_20261011,4,110395,132970,131,125,0.7316777264197389,0.0,0.7311574039256975,437,0.003958512613795914,216,0.0016244265623824923
native_20260928/generated_synthetic_20261012,0,147,147,147,147,0.8911564625850337,0.0,0.673469387755102,12,0.08163265306122448,68,0.46258503401360546
native_20260928/generated_synthetic_20261012,1,4305,4322,147,147,0.7257080834839549,0.0,0.7107820453493753,143,0.03321718931475029,734,0.16982878297084683
