run,position_band,real_events,generated_events,real_customers,generated_customers,merchant_category_tv,real_pair_absent_from_fit,generated_pair_absent_from_fit,real_frauds,real_fraud_rate,generated_frauds,generated_fraud_rate
order_category_numeric_digit_relaxed_20260929/generated_validation_20261011,4,108786,129667,128,126,0.17930990516634357,0.0,0.12200482775108547,430,0.003952714503704521,2163,0.016681191050922747
order_category_numeric_digit_relaxed_20260929/generated_validation_20261012,0,143,143,143,143,0.7902097902097902,0.0,0.16783216783216784,11,0.07692307692307693,47,0.32867132867132864
order_category_numeric_digit_relaxed_20260929/generated_validation_20261012,1,4204,4180,143,143,0.32131326283011397,0.0,0.12009569377990431,135,0.032112274024738346,1045,0.25
order_category_numeric_digit_relaxed_20260929/generated_validation_20261012,2,8976,8976,132,132,0.25233957219251335,0.0,0.11853832442067737,81,0.009024064171122994,988,0.11007130124777184
order_category_numeric_digit_relaxed_20260929/generated_validation_20261012,3,52770,52728,132,132,0.18099033826425667,0.0,0.12247762099833105,458,0.00867917377297707,1720,0.03262023972083144
order_category_numeric_digit_relaxed_20260929/generated_validation_20261012,4,108786,131359,128,129,0.1738422909661037,0.0,0.1213011670308087,430,0.003952714503704521,4500,0.03425726444324333
order_category_relaxed_20260928/generated_validation_20261011,0,143,143,143,143,0.7972027972027973,0.0,0.16083916083916083,11,0.07692307692307693,68,0.4755244755244755
order_category_relaxed_20260928/generated_validation_20261011,1,4204,4186,143,143,0.3056534331510544,0.0,0.12995699952221693,135,0.032112274024738346,722,0.17247969421882464
order_category_relaxed_20260928/generated_validation_20261011,2,8976,8732,132,130,0.25094367797508377,0.0,0.1266605588639487,81,0.009024064171122994,249,0.028515803939532753
order_category_relaxed_20260928/generated_validation_20261011,3,52770,50343,132,127,0.1888805240620125,0.0,0.12389011381920029,458,0.00867917377297707,147,0.0029199690125737443
order_category_relaxed_20260928/generated_validation_20261011,4,108786,124339,128,124,0.17923807002853515,0.0,0.12361366908210618,430,0.003952714503704521,181,0.0014556977295940936
order_category_relaxed_20260928/generated_validation_20261012,0,143,143,143,143,0.8321678321678321,0.0,0.18181818181818182,11,0.07692307692307693,62,0.43356643356643354
order_category_relaxed_20260928/generated_validation_20261012,1,4204,4187,143,143,0.31282608236222076,0.0,0.1289706233580129,135,0.032112274024738346,624,0.1490327203248149
order_category_relaxed_20260928/generated_validation_20261012,2,8976,8812,132,131,0.24967341164171686,0.0,0.12562414888788018,81,0.009024064171122994,117,0.01327734906945075
order_category_relaxed_20260928/generated_validation_20261012,3,52770,51291,132,129,0.19086640475608807,0.0,0.12563607650464995,458,0.00867917377297707,98,0.0019106665886802752
order_category_relaxed_20260928/generated_validation_20261012,4,108786,118425,128,127,0.17884447397797937,0.0,0.12468651044965168,430,0.003952714503704521,164,0.00138484272746464
order_category_relaxed_20260929/generated_validation_20261011,0,143,143,143,143,0.7902097902097902,0.0,0.0979020979020979,11,0.07692307692307693,43,0.3006993006993007
order_category_relaxed_20260929/generated_validation_20261011,1,4204,4283,143,143,0.2899210651363687,0.0,0.07354657950035022,135,0.032112274024738346,777,0.1814148961008639
order_category_relaxed_20260929/generated_validation_20261011,2,8976,9060,132,134,0.23252883332743093,0.0,0.07306843267108168,81,0.009024064171122994,262,0.02891832229580574
order_category_relaxed_20260929/generated_validation_20261011,3,52770,52640,132,132,0.1635272722481515,0.0,0.07710866261398176,458,0.00867917377297707,181,0.0034384498480243162
order_category_relaxed_20260929/generated_validation_20261011,4,108786,143268,128,129,0.1574692773127258,0.0,0.07605327079319876,430,0.003952714503704521,183,0.0012773264092470057
order_category_relaxed_20260929/generated_validation_20261012,0,143,143,143,143,0.8251748251748252,0.0,0.13286713286713286,11,0.07692307692307693,41,0.2867132867132867
order_category_relaxed_20260929/generated_validation_20261012,1,4204,4178,143,143,0.29817120078486425,0.0,0.07826711345141216,135,0.032112274024738346,726,0.17376735280038297
order_category_relaxed_20260929/generated_validation_20261012,2,8976,8729,132,130,0.2266505184125119,0.0,0.07549547485393517,81,0.009024064171122994,106,0.01214342994615649
order_category_relaxed_20260929/generated_validation_20261012,3,52770,50784,132,128,0.16679891031200417,0.0,0.07884373030875866,458,0.00867917377297707,87,0.0017131379962192818
order_category_relaxed_20260929/generated_validation_20261012,4,108786,126994,128,124,0.15803344172760408,0.0,0.07690127092618548,430,0.003952714503704521,194,0.0015276312266721262
order_event_is_fraud_relaxed_20260928/generated_validation_20261011,0,143,143,143,143,0.8671328671328672,0.0,0.6083916083916084,11,0.07692307692307693,27,0.1888111888111888
order_event_is_fraud_relaxed_20260928/generated_validation_20261011,1,4204,4186,143,143,0.6575578374382826,0.0,0.6309125656951744,135,0.032112274024738346,354,0.08456760630673674
order_event_is_fraud_relaxed_20260928/generated_validation_20261011,2,8976,8732,132,130,0.6636955942165315,0.0,0.6526568941823179,81,0.009024064171122994,77,0.008818140174072377
order_event_is_fraud_relaxed_20260928/generated_validation_20261011,3,52770,50343,132,127,0.6544278901652232,0.0,0.6520270941342391,458,0.00867917377297707,79,0.0015692350475736449
order_event_is_fraud_relaxed_20260928/generated_validation_20261011,4,108786,124339,128,124,0.6525990623865658,0.0,0.6511955219199125,430,0.003952714503704521,76,0.0006112321958516636
