kappa,trial,name,variant,group,observed_repeat,predicted_repeat,repeat_mean_bias,repeat_brier,train_mean_brier,mark_nll,uniform_mark_nll,curve_l1
0,2,G,P,pooled,0.3119710563295204,0.31390653557412423,0.001935479244603855,0.15903365118848972,0.21466778354492125,3.3474026967620083,4.1588830833596715,0.0021263374667703093
0,2,G,P,0,0.31215997750755603,0.3145976379118547,0.0024376604042986583,0.15896452572539627,0.21474220839988342,3.346275154023161,4.1588830833596715,0.0027755162103254606
0,2,G,P,1,0.31017932137857473,0.3073520972307531,0.002827224147821661,0.15968923945822558,0.21397090418691228,3.3580963508821275,4.1588830833596715,0.0056658217319443165
1,0,U,A,pooled,0.31773817169090296,0.316950335535889,0.0007878361550139323,0.157832047975268,0.21678207081612183,3.320953627327299,4.1588830833596715,0.0013493867519712675
1,0,U,A,0,0.3174738173894707,0.3166060630986776,0.0008677542907931102,0.15952410568348804,0.21668530928625124,3.3263512864982183,4.1588830833596715,0.0011988017560316936
1,0,U,A,1,0.3202453169788681,0.3202154271725848,2.988980628332305e-05,0.14178451446760418,0.21769513517791528,3.2697620420831965,4.1588830833596715,0.0073281413283117994
1,0,U,B,pooled,0.31773817169090296,0.3184823398669112,0.000744168176008253,0.15803797462335875,0.21678207081612183,3.3215358041042267,4.1588830833596715,0.005347451353439769
1,0,U,B,0,0.3174738173894707,0.31716713945582714,0.0003066779336435843,0.15964617064780823,0.21668530928625124,3.326707987584159,4.1588830833596715,0.007846916076771706
1,0,U,B,1,0.3202453169788681,0.33095574580551107,0.01071042882664297,0.14278578820922502,0.21769513517791528,3.272482638069299,4.1588830833596715,0.02501658613353064
1,0,U,P,pooled,0.31773817169090296,0.31834323275867743,0.0006050610677744706,0.15791832191815103,0.21678207081612183,3.3211492355929604,4.1588830833596715,0.001901205196567413
1,0,U,P,0,0.3174738173894707,0.3166060630986776,0.0008677542907931102,0.15952410568348804,0.21668530928625124,3.3263512864982183,4.1588830833596715,0.0011988017560316936
1,0,U,P,1,0.3202453169788681,0.33481860956876813,0.014573292589900033,0.14268901345241516,0.21769513517791528,3.271812805868868,4.1588830833596715,0.02193132372449554
