family,kappa,index,variant,group,observed_repeat,predicted_repeat,repeat_mean_bias,repeat_brier,train_mean_brier,mark_nll,uniform_mark_nll,curve_l1
argn_original,1,20260920,level,1,0.3202453169788681,0.3172037298283269,0.003041587150541203,0.2177224196000867,0.21769513517791528,3.4435964746688326,4.1588830833596715,0.16215267550188087
argn_original,1,20260920,gap,pooled,0.31773817169090296,0.3164024704569127,0.0013357012339902385,0.21372333998079338,0.21678207081612183,3.444222923220136,4.1588830833596715,0.0029278639843001173
argn_original,1,20260920,gap,0,0.3174738173894707,0.31605711069760145,0.001416706691869274,0.21670366011189468,0.21668530928625124,3.4528143967488285,4.1588830833596715,0.0029840085030663523
argn_original,1,20260920,gap,1,0.3202453169788681,0.31967787429380423,0.0005674426850638681,0.18545788134125005,0.21769513517791528,3.3627410927470156,4.1588830833596715,0.007500252799932927
argn_original,1,20260920,direct,pooled,0.31773817169090296,0.3167647113289152,0.0009734603619877547,0.21370825948289487,0.21678207081612183,3.444187294753609,4.1588830833596715,0.0029973556468571297
argn_original,1,20260920,direct,0,0.3174738173894707,0.31641630263609194,0.0010575147533787854,0.21669029852335944,0.21668530928625124,3.45278378696181,4.1588830833596715,0.003059172318446436
argn_original,1,20260920,direct,1,0.3202453169788681,0.32006903135611064,0.00017628562275745496,0.1854264986478239,0.21769513517791528,3.362657866951409,4.1588830833596715,0.007602805362737193
argn_original,1,20260921,raw,pooled,0.31773817169090296,0.025141580030322075,0.2925965916605809,0.3007362747547191,0.21678207081612183,4.051520824432373,4.1588830833596715,0.29259659363016133
argn_original,1,20260921,raw,0,0.3174738173894707,0.025129366666078568,0.29234445072339216,0.30050710603939135,0.21668530928625124,4.052550315856934,4.1588830833596715,0.29234445097526884
argn_original,1,20260921,raw,1,0.3202453169788681,0.025257393717765808,0.2949879232611023,0.30290971873376565,0.21769513517791528,4.041752815246582,4.1588830833596715,0.2949879232422908
argn_original,1,20260921,level,pooled,0.31773817169090296,0.31627569643642195,0.0014624752544810105,0.2078022126254075,0.21678207081612183,3.4844947831080475,4.1588830833596715,0.014971873154236277
argn_original,1,20260921,level,0,0.3174738173894707,0.3161576262218177,0.0013161911676530247,0.20778001855005124,0.21668530928625124,3.4861789821734193,4.1588830833596715,0.0025193841543668955
argn_original,1,20260921,level,1,0.3202453169788681,0.31739547841307464,0.002849838565793461,0.2080127019995114,0.21769513517791528,3.468521781239482,4.1588830833596715,0.15455104331581185
argn_original,1,20260921,gap,pooled,0.31773817169090296,0.3164731464009042,0.001265025289998778,0.20500947690910212,0.21678207081612183,3.477382454410291,4.1588830833596715,0.002992297493270302
argn_original,1,20260921,gap,0,0.3174738173894707,0.3161545857093057,0.0013192316801650117,0.20778433361675694,0.21668530928625124,3.4861897789983445,4.1588830833596715,0.002823759955639001
argn_original,1,20260921,gap,1,0.3202453169788681,0.3194943869577825,0.0007509300210856162,0.17869264044499547,0.21769513517791528,3.3938534850654287,4.1588830833596715,0.009168643049746397
argn_original,1,20260921,direct,pooled,0.31773817169090296,0.3167566589413839,0.0009815127495190756,0.21371376027052755,0.21678207081612183,3.496387317353426,4.1588830833596715,0.00317276794765459
argn_original,1,20260921,direct,0,0.3174738173894707,0.3164163386402411,0.0010574787492296234,0.21669068225238255,0.21668530928625124,3.5056264838377307,4.1588830833596715,0.003106469595212227
