family,kappa,index,variant,group,repeat_curve_mean,repeat_curve_tape_min,repeat_curve_tape_max,null_shape_mean,null_shape_tape_min,null_shape_tape_max,mark_tv_mean,passes_relation,passes_null_shape,passes_distribution_cost,passes_generation_screen,delta_gap_ks,delta_mark_sparse_tv,delta_amount_ks,delta_length_scaled_w1
U,0,1,level,pooled,0.0097629427478861,0.0071505973910784,0.0120351269410549,0.0056496157277242,0.0044354940578437,0.0065312510313873,0.0130306313971512,True,True,True,True,-7.111566251365858e-06,0.0002861815208503,2.0441537203597093e-05,0.0
U,0,1,raw,0,0.0084949798831016,0.0065324735322989,0.0108237910351073,0.006063028691585134,0.0053575472484731,0.0065747541046951,0.0108881932671676,True,True,True,True,0.0,0.0,0.0,0.0
U,0,1,raw,1,0.017251478770444032,0.0110273053503473,0.0280290324949131,0.0115861291302222,0.0106714136635959,0.0127738361009804,0.03721478272269257,True,True,True,True,0.0,0.0,0.0,0.0
U,0,1,raw,pooled,0.008615003106825267,0.0068350016159229,0.0101357002111603,0.005716376882375067,0.0045216053020549,0.0066283993263466,0.012744449876300834,True,True,True,True,0.0,0.0,0.0,0.0
U,1,0,direct,0,0.005194804713929034,0.0030494552754051,0.0084278642673598,0.004072132986482233,0.0014232618702717,0.0083156131313827,0.010011128773249334,True,True,True,True,-1.2576289911025997e-05,-0.0022326377788681,9.317810311539054e-05,0.0
U,1,0,direct,1,0.009706814163364334,0.0090429767851783,0.0103999240837447,0.009958035927936933,0.0091802121465237,0.0107744942896307,0.04267077408048853,True,True,True,True,-7.680588178652498e-05,0.0005434547530663,-0.0001832351276057,0.0
U,1,0,direct,pooled,0.0046042606522903005,0.0025335466017883,0.0079568659940288,0.0042196830692198,0.0017716632130445,0.0079298513896564,0.010259981315173366,True,True,True,True,-0.0001727250406641,-0.00208809344917,3.328158651839941e-05,0.0
U,1,0,gap,0,0.007819732360861033,0.0062165938098966,0.0098046142857851,0.0059107920237987,0.0056428542971781,0.0063932303357221,0.012273106423076033,True,True,True,True,0.0001067043894858,2.9339870958542888e-05,6.940579367065158e-06,0.0
U,1,0,gap,1,0.029663345128063765,0.025245313933126,0.0346218327506328,0.02449210750278467,0.0188540186071518,0.0302925931356053,0.04177150014530626,True,True,True,True,0.000136165577342,-0.0003558191821159,0.0002354653898046,0.0
U,1,0,gap,pooled,0.0071216088482304665,0.006911774850717,0.0074784250289451,0.005261244440102467,0.0042997415047045,0.0063753279835558,0.012062854722434966,True,True,True,True,9.2450361267548e-05,-0.0002852200419083,2.0441537203597093e-05,0.0
U,1,0,level,0,0.007860691531095433,0.0061871132869386,0.0098725178156079,0.006333947441547301,0.0060319374079426,0.0068107111318499,0.012077553800561166,True,True,True,True,0.0001146454351627,-0.0001662127515563,-2.6317550707075088e-05,0.0
U,1,0,level,1,0.0337562517724304,0.0291470500167016,0.040608974296847,0.028330429114484166,0.0224725174792835,0.0357912296045284,0.04209129069753773,False,True,True,False,0.0004084967320261,-3.60286298844506e-05,0.0,0.0
U,1,0,level,pooled,0.0072830368061802655,0.0065987238103079,0.0079493896295957,0.005460706806513199,0.0044160831377155,0.0069406906962021,0.012076482413904034,True,True,True,True,0.0001137850600216,-0.0002715923504393,-3.406922867266182e-05,0.0
U,1,0,raw,0,0.007797758016647932,0.007045053680352,0.0084978668055616,0.006197197278616333,0.0054594061833161,0.0066631831280809,0.012243766552117466,True,True,True,True,0.0,0.0,0.0,0.0
U,1,0,raw,1,0.03238088549079757,0.0278600304272565,0.0375869733600219,0.027533222043622334,0.0216063962325402,0.0334916633427143,0.0421273193274222,False,True,True,False,0.0,0.0,0.0,0.0
U,1,0,raw,pooled,0.007200396737950767,0.0049331528283055,0.0087362888523153,0.0054221983861608,0.004190890228911,0.0072170124191698,0.012348074764343367,True,True,True,True,0.0,0.0,0.0,0.0
U,1,1,direct,0,0.005172443358345933,0.0028483898220397,0.0071806727995092,0.004633611711850133,0.0021148058763199,0.0068757105304329,0.009248775972213533,True,True,True,True,-0.0001436539460838,-0.0019773076561436,0.0001726566747323,0.0
U,1,1,direct,1,0.012442938617763133,0.0090726831953063,0.015304710138137,0.011923765135486467,0.0084458853540755,0.0156150777172967,0.04360106780758153,True,True,True,True,0.000386498380137,0.0013491525937904,0.0003508853516991,0.0
U,1,1,direct,pooled,0.0044296027029480335,0.0025933406887345,0.00602842493824,0.004695412630465633,0.0027993364660935,0.0060763757413786,0.010190243368397167,True,True,True,True,-0.0001318039278745,-0.0021685354573895,0.0001562814726272,0.0
U,1,1,gap,0,0.0083290018863342,0.0053301516706014,0.0108132185106552,0.007036139659572367,0.0051473145757049,0.0104170718979918,0.011671484500778567,True,True,True,True,-0.0001826440505685,0.0004454008724212,1.9959316226926534e-05,0.0
U,1,1,gap,1,0.026096383581627497,0.0231499126772383,0.029749349205982,0.021491918152152668,0.016477538139062,0.0277928644749599,0.0429694625066808,True,True,True,True,0.0006808278867102,0.0007175472928897,-0.0003913894324853,0.0
U,1,1,gap,pooled,0.0066823142799005,0.0052542904905559,0.0085953234595744,0.005512109151947466,0.0042498572465833,0.0079484711629902,0.012351964980052166,True,True,True,True,-8.533879501622724e-05,-6.813845734546242e-06,-1.3627691469064729e-05,0.0
U,1,1,level,0,0.008704418893244933,0.0058754846372133,0.0114107706722557,0.007465609221318101,0.0056301391339906,0.0110692755195529,0.011662599423505967,True,True,True,True,-0.0002064671875992,0.0004365157951487,2.160661990561336e-05,0.0
U,1,1,level,1,0.0372893553028827,0.0359083744071836,0.0395655251248913,0.029597540301304032,0.0272011329397117,0.0334097370480915,0.04199098892546751,False,True,True,False,-0.000136165577342,-0.0002609262883235,6.52315720808816e-05,0.0
U,1,1,level,pooled,0.0064632628382932005,0.0050197483192479,0.0085365030988758,0.005534602848961233,0.0039409324741534,0.007920855864565,0.012460986511804701,True,True,True,True,-0.0001849007225351,0.0001022076860179,2.909131863267772e-05,0.0
U,1,1,raw,0,0.008528989805706566,0.0053540756011523,0.0127617928408249,0.006903222612114866,0.0050795616239075,0.0103579736232279,0.011226083628357234,True,True,True,True,0.0,0.0,0.0,0.0
U,1,1,raw,1,0.035122008566410796,0.0335096153144464,0.0361992147996406,0.028668084684286166,0.0249345603356192,0.0337641235130663,0.042251915213791104,False,True,True,False,0.0,0.0,0.0,0.0
U,1,1,raw,pooled,0.008455836688672233,0.0050028812946698,0.0113327471638151,0.005279935912158233,0.0042227176466908,0.0072687154596223,0.012358778825786733,True,True,True,True,0.0,0.0,0.0,0.0
argn_continued,0,20260920,direct,0,0.005975492432978233,0.0048022555488196,0.0070200467176144,0.0034773846648575666,0.0033926833823936,0.003529440040738,0.014649728475559301,True,True,True,True,9.529254812272023e-05,0.0054366343627816,-7.359316244052571e-05,0.0
argn_continued,0,20260920,direct,1,0.011984655650295967,0.0082331948067389,0.0169898566952549,0.0083402206168838,0.0039162100599191,0.0153751493117383,0.029679273520140433,True,True,True,True,0.0007515566500359,0.0057877081115922,0.0003252494355473,0.0
argn_continued,0,20260920,direct,pooled,0.0053136622976034,0.0037866389699501,0.0071440750088005,0.0029366450548007667,0.0022012620927211,0.0034572905565237,0.012333872709816932,True,True,True,True,6.40040962621713e-05,0.00366720984788,-6.813845734532364e-06,0.0
argn_continued,0,20260920,gap,0,0.0933735765722557,0.0913604744922491,0.0962166663271037,0.006289040221739567,0.0058983189367839,0.0066512784140469,0.0295048116019505,False,True,False,False,3.9705228384478986e-05,0.0202917174891728,0.0,0.0
argn_continued,0,20260920,gap,1,0.09265734436954376,0.088726336603658,0.0979431660889676,0.014570685399590265,0.0099729039277753,0.0178725823293035,0.04734968714764679,False,True,False,False,0.0001635602651907,0.0234581217390986,0.0004067993183646,0.0
argn_continued,0,20260920,gap,pooled,0.09330228876891533,0.0913941958885098,0.0954283132630756,0.004877207900912734,0.0041610226410124,0.0055059920111186,0.04067946033680806,False,True,False,False,0.0001564544575297,0.0320127974748711,0.0,0.0
