dataset,model,variant,generation_seed,reused,gap_tv,mark_tv,root_tv,root_amount_joint_tv,merchant_amount_joint_tv,gap_root_transition_joint_tv,unambiguous_gap_root_transition_tv,amount_ks,length_ks,generated_events,generated_entities,generated_max_length,unknown_mark_rate,unknown_root_rate,invalid_amount_rate,invalid_gap_rate,noninteger_gap_rate,generated_unambiguous_fraction,daily_gap_mark_joint_tv,daily_gap_count_joint_tv
sparkov,U,gap,20261022,True,0.048026823125761876,0.05713213050924684,0.029363936245386607,0.18973664032586066,0.2169628027618417,0.15828589210092453,0.1582814568328412,0.08397710481857174,0.09566326530612246,165024,128,3112,0.0,0.0,0.013052646887725422,0.0,0.0,0.9999090335726761,,
sparkov,G,raw,20261021,True,0.06159913642811118,0.054099635497851496,0.02310631655110798,0.18359241677427637,0.2139751243568782,0.16418796821752546,0.16417524240667833,0.08601986851038701,0.09566326530612246,165024,128,3112,6.059724646112081e-06,0.0,0.012876914872988171,0.0,0.0,0.9999454201436057,,
sparkov,G,raw,20261022,True,0.053484931110820276,0.053711276927962376,0.024874338863230032,0.18508792156100085,0.21415775419073135,0.15942477342599556,0.15941296979460443,0.08649795027135437,0.09566326530612246,165024,128,3112,0.0,0.0,0.012810257901880938,0.0,0.0,0.9998726470017466,,
sparkov,G,gap,20261021,True,0.06158094314264639,0.054105695222497606,0.023124495725046317,0.18361665567286084,0.21399330353081655,0.1641515816465959,0.16413885384966656,0.08602592823503313,0.09566326530612246,165024,128,3112,6.059724646112081e-06,0.0,0.012876914872988171,0.0,0.0,0.9999454201436057,,
sparkov,G,gap,20261022,True,0.053484931110820276,0.05371006904788325,0.02486827913858393,0.18510004101029304,0.2141698736400236,0.1594247734259956,0.15941296979460445,0.08649795027135437,0.09566326530612246,165024,128,3112,0.0,0.0,0.012810257901880938,0.0,0.0,0.9998726470017466,,
sparkov,Marginal,raw,20261021,True,0.013647663613199919,0.0441562068500502,0.020238881586702284,0.04331423014202854,0.11568915156296103,0.16465971139744565,0.16466278907457332,0.01607249963657109,0.09566326530612246,165024,128,3112,0.0,0.0,0.0,0.0,0.0,0.9999818067145352,,
sparkov,Marginal,raw,20261022,True,0.014321698600829762,0.04503610234538784,0.021444766791278602,0.04297653832853401,0.11723588125697909,0.16570440623199426,0.16570134062955377,0.015994924321500625,0.09566326530612246,165024,128,3112,0.0,6.059724646112081e-06,0.0,0.0,0.0,0.9999454201436057,,
sparkov,Transition,raw,20261021,True,0.013647663613199919,0.04777997962060373,0.02525277681580413,0.0494934555594784,0.1178336187233947,0.07711824366403787,0.07710051064037508,0.01613429798836119,0.09566326530612246,165024,128,3112,0.0,0.0,0.0,0.0,0.0,0.9999818067145352,,
sparkov,Transition,raw,20261022,True,0.014321698600829762,0.047893161490546746,0.027086138359060936,0.04800966700525764,0.11971223689140423,0.07775791589833522,0.07774859030669981,0.015544159919208878,0.09566326530612246,165024,128,3112,0.0,0.0,0.0,0.0,0.0,0.9999454201436057,,
sparkov,ARGN,raw,20261021,True,0.07714428143945484,0.0612350905611113,0.03911054997440331,0.2240096320417972,0.3179037323453367,0.1975882371905159,0.19685145824885003,0.019533440576397942,0.23905187074829937,115787,128,3123,0.0,0.0,0.0,0.0,0.0,0.992633517495396,,
